"Wavelength (nm),Absorbance (AU),Std.Dev."
"399,-0.0102458000183106,0.000505789155394508"
"400,-0.00918102264404297,0.000538305013855964"
"401,-0.00993442535400391,0.000610780565174116"
"402,-0.00865745544433594,0.000740955233287292"
"403,-0.00998258590698242,0.000529611334873765"
"404,-0.00899362564086914,0.000452745268232342"
"405,-0.00911569595336914,0.000576095070811549"
"406,-0.00920915603637696,0.000745009497013541"
"407,-0.00924348831176758,0.000825474398442197"
"408,-0.00808763504028321,0.000635270229924477"
"409,-0.00862169265747071,0.000532392904552765"
"410,-0.00878572463989258,0.000649563531955495"
"411,-0.00779533386230469,0.000794867948394721"
"412,-0.00788640975952149,0.000767143112897204"
"413,-0.00811100006103516,0.000625970783147452"
"414,-0.00692844390869141,0.00058730234688615"
"415,-0.00732040405273438,0.000633791028623662"
"416,-0.0077509880065918,0.000695343034320268"
"417,-0.00795173645019532,0.000656604593702195"
"418,-0.00724363327026367,0.000550507208441423"
"419,-0.00763130187988282,0.000607567637056141"
"420,-0.00673627853393555,0.000836767562186836"
"421,-0.00715446472167969,0.000653939701208007"
"422,-0.00690078735351563,0.000518321771630431"
"423,-0.0068964958190918,0.000503178669120974"
"424,-0.00587940216064453,0.000746317028668762"
"425,-0.00640630722045899,0.00079514251102685"
"426,-0.00591135025024414,0.000775125458199388"
"427,-0.00507974624633789,0.000759326007178966"
"428,-0.00610780715942383,0.000729814497792887"
"429,-0.00535202026367188,0.000766383978464675"
"430,-0.00618314743041992,0.000727757862651885"
"431,-0.00601959228515625,0.000759843265812551"
"432,-0.00453853607177735,0.00097387659737979"
"433,-0.00495386123657227,0.00104989450647117"
"434,-0.00408601760864258,0.00102350538516399"
"435,-0.00571155548095703,0.000689268400824905"
"436,-0.00344991683959961,0.00088321569717246"
"437,-0.00464630126953125,0.00102501135578495"
"438,-0.00325107574462891,0.000717284821262892"
"439,-0.00377893447875977,0.000844264124380437"
"440,-0.00450325012207031,0.000882638846678441"
"441,-0.00311422348022461,0.00081777002649573"
